Time;SI;SS;XI;XS;XBH;SNH;SND;XND;SALK;TSS;QI;T
2017-01-01 09:00;3.57E+01;1.08E+02;8.84E+01;3.32E+02;4.91E+01;3.76E+01;7.98E+00;2.16E+01;7.00E+00;3.52E+02;3.02E+04;1.43E+01
2017-01-01 09:15;3.61E+01;1.08E+02;9.82E+01;3.69E+02;5.57E+01;3.64E+01;8.16E+00;2.14E+01;7.00E+00;3.92E+02;3.19E+04;1.44E+01
2017-01-01 09:30;3.61E+01;1.07E+02;1.08E+02;4.04E+02;6.09E+01;3.58E+01;8.43E+00;2.13E+01;7.00E+00;4.29E+02;3.18E+04;1.44E+01
2017-01-01 09:45;3.59E+01;1.06E+02;1.17E+02;4.39E+02;6.56E+01;3.53E+01;8.74E+00;2.12E+01;7.00E+00;4.67E+02;3.12E+04;1.44E+01
2017-01-01 10:00;3.57E+01;1.05E+02;1.27E+02;4.76E+02;7.04E+01;3.48E+01;9.08E+00;2.11E+01;7.00E+00;5.05E+02;3.04E+04;1.44E+01
2017-01-01 10:15;3.55E+01;1.04E+02;1.35E+02;5.07E+02;7.45E+01;3.44E+01;9.28E+00;2.09E+01;7.00E+00;5.37E+02;2.96E+04;1.44E+01
2017-01-01 10:30;3.56E+01;1.01E+02;1.38E+02;5.22E+02;7.68E+01;3.42E+01;9.12E+00;2.06E+01;7.00E+00;5.53E+02;2.89E+04;1.44E+01
2017-01-01 10:45;3.57E+01;9.79E+01;1.38E+02;5.29E+02;7.82E+01;3.41E+01;8.77E+00;2.02E+01;7.00E+00;5.59E+02;2.82E+04;1.44E+01
2017-01-01 11:00;3.59E+01;9.43E+01;1.37E+02;5.34E+02;7.92E+01;3.40E+01;8.36E+00;1.97E+01;7.00E+00;5.63E+02;2.74E+04;1.44E+01
2017-01-01 11:15;3.60E+01;9.11E+01;1.37E+02;5.38E+02;8.02E+01;3.37E+01;7.98E+00;1.92E+01;7.00E+00;5.67E+02;2.64E+04;1.45E+01
2017-01-01 11:30;3.59E+01;8.91E+01;1.39E+02;5.46E+02;8.15E+01;3.32E+01;7.71E+00;1.87E+01;7.00E+00;5.75E+02;2.49E+04;1.45E+01
2017-01-01 11:45;3.58E+01;8.79E+01;1.42E+02;5.54E+02;8.29E+01;3.25E+01;7.50E+00;1.83E+01;7.00E+00;5.84E+02;2.35E+04;1.45E+01
2017-01-01 12:00;3.56E+01;8.68E+01;1.45E+02;5.62E+02;8.42E+01;3.18E+01;7.29E+00;1.78E+01;7.00E+00;5.94E+02;2.22E+04;1.45E+01
2017-01-01 12:15;3.53E+01;8.51E+01;1.48E+02;5.66E+02;8.47E+01;3.08E+01;7.04E+00;1.73E+01;7.00E+00;5.99E+02;2.12E+04;1.46E+01
2017-01-01 12:30;3.48E+01;8.19E+01;1.47E+02;5.59E+02;8.34E+01;2.95E+01;6.71E+00;1.70E+01;7.00E+00;5.92E+02;2.09E+04;1.46E+01
2017-01-01 12:45;3.42E+01;7.77E+01;1.44E+02;5.45E+02;8.08E+01;2.79E+01;6.34E+00;1.69E+01;7.00E+00;5.78E+02;2.08E+04;1.46E+01
2017-01-01 13:00;3.35E+01;7.35E+01;1.40E+02;5.29E+02;7.77E+01;2.63E+01;5.96E+00;1.68E+01;7.00E+00;5.60E+02;2.07E+04;1.46E+01
2017-01-01 13:15;3.29E+01;6.94E+01;1.37E+02;5.13E+02;7.48E+01;2.48E+01;5.67E+00;1.67E+01;7.00E+00;5.43E+02;2.07E+04;1.47E+01
2017-01-01 13:30;3.25E+01;6.56E+01;1.35E+02;5.01E+02;7.29E+01;2.34E+01;5.60E+00;1.67E+01;7.00E+00;5.32E+02;2.05E+04;1.47E+01
2017-01-01 13:45;3.22E+01;6.21E+01;1.35E+02;4.91E+02;7.16E+01;2.21E+01;5.66E+00;1.68E+01;7.00E+00;5.23E+02;2.03E+04;1.47E+01
2017-01-01 14:00;3.20E+01;5.88E+01;1.35E+02;4.81E+02;7.05E+01;2.09E+01;5.79E+00;1.70E+01;7.00E+00;5.15E+02;2.01E+04;1.48E+01
2017-01-01 14:15;3.17E+01;5.59E+01;1.34E+02;4.71E+02;6.91E+01;1.97E+01;5.88E+00;1.70E+01;7.00E+00;5.06E+02;2.00E+04;1.48E+01
2017-01-01 14:30;3.13E+01;5.36E+01;1.32E+02;4.61E+02;6.74E+01;1.84E+01;5.86E+00;1.66E+01;7.00E+00;4.95E+02;1.99E+04;1.48E+01
2017-01-01 14:45;3.08E+01;5.17E+01;1.29E+02;4.50E+02;6.54E+01;1.69E+01;5.76E+00;1.59E+01;7.00E+00;4.84E+02;1.98E+04;1.49E+01
2017-01-01 15:00;3.03E+01;5.00E+01;1.26E+02;4.40E+02;6.33E+01;1.55E+01;5.66E+00;1.52E+01;7.00E+00;4.72E+02;1.98E+04;1.49E+01
2017-01-01 15:15;2.98E+01;4.87E+01;1.23E+02;4.28E+02;6.10E+01;1.45E+01;5.57E+00;1.46E+01;7.00E+00;4.59E+02;1.99E+04;1.49E+01
2017-01-01 15:30;2.95E+01;4.80E+01;1.18E+02;4.11E+02;5.82E+01;1.45E+01;5.52E+00;1.41E+01;7.00E+00;4.41E+02;2.05E+04;1.50E+01
2017-01-01 15:45;2.94E+01;4.77E+01;1.14E+02;3.92E+02;5.52E+01;1.52E+01;5.49E+00;1.38E+01;7.00E+00;4.20E+02;2.12E+04;1.50E+01
2017-01-01 16:00;2.93E+01;4.76E+01;1.09E+02;3.73E+02;5.24E+01;1.60E+01;5.49E+00;1.35E+01;7.00E+00;4.01E+02;2.18E+04;1.50E+01
2017-01-01 16:15;2.93E+01;4.88E+01;1.05E+02;3.58E+02;5.00E+01;1.71E+01;5.54E+00;1.34E+01;7.00E+00;3.85E+02;2.24E+04;1.50E+01
2017-01-01 16:30;2.97E+01;5.36E+01;1.03E+02;3.51E+02;4.84E+01;1.86E+01;5.73E+00;1.37E+01;7.00E+00;3.77E+02;2.30E+04;1.51E+01
2017-01-01 16:45;3.03E+01;6.02E+01;1.02E+02;3.48E+02;4.73E+01;2.03E+01;5.98E+00;1.41E+01;7.00E+00;3.73E+02;2.35E+04;1.51E+01
2017-01-01 17:00;3.09E+01;6.72E+01;1.00E+02;3.48E+02;4.65E+01;2.21E+01;6.24E+00;1.47E+01;7.00E+00;3.71E+02;2.40E+04;1.51E+01
2017-01-01 17:15;3.15E+01;7.28E+01;9.95E+01;3.49E+02;4.62E+01;2.37E+01;6.46E+00;1.51E+01;7.00E+00;3.71E+02;2.46E+04;1.52E+01
2017-01-01 17:30;3.21E+01;7.45E+01;9.87E+01;3.51E+02;4.68E+01;2.48E+01;6.55E+00;1.54E+01;7.00E+00;3.73E+02;2.56E+04;1.52E+01
2017-01-01 17:45;3.28E+01;7.42E+01;9.80E+01;3.55E+02;4.79E+01;2.56E+01;6.57E+00;1.56E+01;7.00E+00;3.75E+02;2.66E+04;1.52E+01
2017-01-01 18:00;3.34E+01;7.34E+01;9.75E+01;3.59E+02;4.91E+01;2.62E+01;6.56E+00;1.58E+01;7.00E+00;3.79E+02;2.76E+04;1.52E+01
2017-01-01 18:15;3.36E+01;7.19E+01;9.69E+01;3.60E+02;4.98E+01;2.64E+01;6.52E+00;1.59E+01;7.00E+00;3.80E+02;2.86E+04;1.52E+01
2017-01-01 18:30;3.29E+01;6.88E+01;9.58E+01;3.57E+02;4.91E+01;2.56E+01;6.42E+00;1.59E+01;7.00E+00;3.77E+02;3.00E+04;1.52E+01
2017-01-01 18:45;3.18E+01;6.51E+01;9.46E+01;3.52E+02;4.78E+01;2.44E+01;6.30E+00;1.58E+01;7.00E+00;3.71E+02;3.14E+04;1.53E+01
2017-01-01 19:00;3.06E+01;6.14E+01;9.35E+01;3.47E+02;4.65E+01;2.31E+01;6.17E+00;1.57E+01;7.00E+00;3.65E+02;3.26E+04;1.53E+01
2017-01-01 19:15;2.97E+01;5.84E+01;9.26E+01;3.43E+02;4.56E+01;2.18E+01;6.08E+00;1.56E+01;7.00E+00;3.61E+02;3.35E+04;1.53E+01
2017-01-01 19:30;2.93E+01;5.68E+01;9.19E+01;3.39E+02;4.53E+01;2.05E+01;6.04E+00;1.55E+01;7.00E+00;3.57E+02;3.39E+04;1.53E+01
2017-01-01 19:45;2.91E+01;5.58E+01;9.14E+01;3.37E+02;4.53E+01;1.91E+01;6.03E+00;1.53E+01;7.00E+00;3.55E+02;3.40E+04;1.53E+01
2017-01-01 20:00;2.90E+01;5.49E+01;9.09E+01;3.34E+02;4.54E+01;1.77E+01;6.02E+00;1.51E+01;7.00E+00;3.53E+02;3.41E+04;1.53E+01
2017-01-01 20:15;2.88E+01;5.39E+01;9.01E+01;3.32E+02;4.53E+01;1.65E+01;5.94E+00;1.48E+01;7.00E+00;3.50E+02;3.39E+04;1.53E+01
2017-01-01 20:30;2.85E+01;5.32E+01;8.81E+01;3.29E+02;4.47E+01;1.59E+01;5.69E+00;1.44E+01;7.00E+00;3.46E+02;3.33E+04;1.53E+01
2017-01-01 20:45;2.82E+01;5.25E+01;8.57E+01;3.26E+02;4.39E+01;1.55E+01;5.36E+00;1.39E+01;7.00E+00;3.41E+02;3.26E+04;1.53E+01
2017-01-01 21:00;2.79E+01;5.19E+01;8.32E+01;3.23E+02;4.31E+01;1.52E+01;5.00E+00;1.35E+01;7.00E+00;3.37E+02;3.19E+04;1.53E+01
2017-01-01 21:15;2.75E+01;5.13E+01;8.11E+01;3.20E+02;4.25E+01;1.50E+01;4.68E+00;1.30E+01;7.00E+00;3.33E+02;3.09E+04;1.53E+01
2017-01-01 21:30;2.71E+01;5.07E+01;8.02E+01;3.21E+02;4.29E+01;1.48E+01;4.43E+00;1.27E+01;7.00E+00;3.33E+02;2.93E+04;1.53E+01
2017-01-01 21:45;2.67E+01;5.01E+01;7.99E+01;3.24E+02;4.36E+01;1.46E+01;4.21E+00;1.23E+01;7.00E+00;3.36E+02;2.76E+04;1.53E+01
2017-01-01 22:00;2.63E+01;4.96E+01;7.98E+01;3.27E+02;4.46E+01;1.45E+01;4.00E+00;1.20E+01;7.00E+00;3.39E+02;2.61E+04;1.53E+01
2017-01-01 22:15;2.61E+01;4.92E+01;7.98E+01;3.30E+02;4.55E+01;1.44E+01;3.82E+00;1.17E+01;7.00E+00;3.42E+02;2.47E+04;1.52E+01
2017-01-01 22:30;2.61E+01;4.87E+01;8.00E+01;3.33E+02;4.59E+01;1.42E+01;3.73E+00;1.14E+01;7.00E+00;3.44E+02;2.33E+04;1.52E+01
2017-01-01 22:45;2.64E+01;4.83E+01;8.04E+01;3.36E+02;4.61E+01;1.41E+01;3.71E+00;1.11E+01;7.00E+00;3.47E+02;2.21E+04;1.52E+01
2017-01-01 23:00;2.68E+01;4.78E+01;8.09E+01;3.38E+02;4.63E+01;1.39E+01;3.70E+00;1.08E+01;7.00E+00;3.49E+02;2.09E+04;1.52E+01
2017-01-01 23:15;2.71E+01;4.76E+01;8.15E+01;3.41E+02;4.66E+01;1.40E+01;3.69E+00;1.05E+01;7.00E+00;3.52E+02;1.99E+04;1.52E+01
2017-01-01 23:30;2.70E+01;4.77E+01;8.22E+01;3.45E+02;4.72E+01;1.44E+01;3.58E+00;1.01E+01;7.00E+00;3.56E+02;1.87E+04;1.51E+01
2017-01-01 23:45;2.66E+01;4.81E+01;8.31E+01;3.50E+02;4.81E+01;1.52E+01;3.42E+00;9.62E+00;7.00E+00;3.61E+02;1.77E+04;1.51E+01
2017-01-02 00:00;2.62E+01;4.86E+01;8.42E+01;3.55E+02;4.91E+01;1.62E+01;3.24E+00;9.12E+00;7.00E+00;3.66E+02;1.67E+04;1.51E+01
2017-01-02 00:15;2.57E+01;4.86E+01;8.47E+01;3.58E+02;4.98E+01;1.70E+01;3.05E+00;8.62E+00;7.00E+00;3.69E+02;1.61E+04;1.51E+01
2017-01-02 00:30;2.54E+01;4.71E+01;8.33E+01;3.55E+02;4.96E+01;1.70E+01;2.82E+00;8.17E+00;7.00E+00;3.66E+02;1.60E+04;1.50E+01
2017-01-02 00:45;2.53E+01;4.45E+01;8.07E+01;3.48E+02;4.86E+01;1.65E+01;2.57E+00;7.77E+00;7.00E+00;3.58E+02;1.60E+04;1.50E+01
2017-01-02 01:00;2.52E+01;4.15E+01;7.76E+01;3.39E+02;4.74E+01;1.58E+01;2.33E+00;7.42E+00;7.00E+00;3.48E+02;1.62E+04;1.50E+01
2017-01-02 01:15;2.51E+01;3.88E+01;7.48E+01;3.30E+02;4.61E+01;1.50E+01;2.12E+00;7.10E+00;7.00E+00;3.38E+02;1.62E+04;1.49E+01
2017-01-02 01:30;2.48E+01;3.73E+01;7.25E+01;3.21E+02;4.45E+01;1.44E+01;1.94E+00;6.79E+00;7.00E+00;3.28E+02;1.59E+04;1.49E+01
2017-01-02 01:45;2.46E+01;3.64E+01;7.06E+01;3.12E+02;4.28E+01;1.38E+01;1.79E+00;6.50E+00;7.00E+00;3.19E+02;1.56E+04;1.49E+01
2017-01-02 02:00;2.43E+01;3.59E+01;6.88E+01;3.02E+02;4.09E+01;1.32E+01;1.66E+00;6.21E+00;7.00E+00;3.09E+02;1.53E+04;1.48E+01
2017-01-02 02:15;2.41E+01;3.52E+01;6.72E+01;2.94E+02;3.92E+01;1.27E+01;1.56E+00;6.04E+00;7.00E+00;3.00E+02;1.50E+04;1.48E+01
2017-01-02 02:30;2.41E+01;3.42E+01;6.60E+01;2.88E+02;3.78E+01;1.24E+01;1.57E+00;6.21E+00;7.00E+00;2.93E+02;1.46E+04;1.48E+01
2017-01-02 02:45;2.43E+01;3.29E+01;6.50E+01;2.83E+02;3.67E+01;1.23E+01;1.65E+00;6.62E+00;7.00E+00;2.88E+02;1.42E+04;1.47E+01
2017-01-02 03:00;2.47E+01;3.14E+01;6.42E+01;2.79E+02;3.58E+01;1.23E+01;1.77E+00;7.15E+00;7.00E+00;2.84E+02;1.39E+04;1.47E+01
2017-01-02 03:15;2.50E+01;3.00E+01;6.34E+01;2.76E+02;3.49E+01;1.23E+01;1.89E+00;7.63E+00;7.00E+00;2.80E+02;1.35E+04;1.47E+01
2017-01-02 03:30;2.51E+01;2.90E+01;6.31E+01;2.73E+02;3.45E+01;1.24E+01;1.93E+00;7.81E+00;7.00E+00;2.78E+02;1.30E+04;1.46E+01
2017-01-02 03:45;2.50E+01;2.83E+01;6.31E+01;2.72E+02;3.43E+01;1.26E+01;1.93E+00;7.76E+00;7.00E+00;2.77E+02;1.24E+04;1.46E+01
2017-01-02 04:00;2.49E+01;2.77E+01;6.32E+01;2.71E+02;3.43E+01;1.28E+01;1.90E+00;7.61E+00;7.00E+00;2.76E+02;1.18E+04;1.46E+01
2017-01-02 04:15;2.48E+01;2.74E+01;6.34E+01;2.70E+02;3.42E+01;1.29E+01;1.86E+00;7.50E+00;7.00E+00;2.76E+02;1.13E+04;1.45E+01
2017-01-02 04:30;2.48E+01;2.76E+01;6.36E+01;2.68E+02;3.41E+01;1.29E+01;1.81E+00;7.66E+00;7.00E+00;2.74E+02;1.09E+04;1.45E+01
2017-01-02 04:45;2.50E+01;2.83E+01;6.39E+01;2.65E+02;3.40E+01;1.28E+01;1.74E+00;8.04E+00;7.00E+00;2.72E+02;1.05E+04;1.45E+01
2017-01-02 05:00;2.51E+01;2.92E+01;6.41E+01;2.62E+02;3.37E+01;1.25E+01;1.68E+00;8.55E+00;7.00E+00;2.70E+02;1.02E+04;1.45E+01
2017-01-02 05:15;2.54E+01;3.04E+01;6.44E+01;2.58E+02;3.36E+01;1.23E+01;1.64E+00;9.05E+00;7.00E+00;2.67E+02;9.87E+03;1.44E+01
2017-01-02 05:30;2.57E+01;3.19E+01;6.47E+01;2.55E+02;3.34E+01;1.21E+01;1.66E+00;9.38E+00;7.00E+00;2.65E+02;9.57E+03;1.44E+01
2017-01-02 05:45;2.60E+01;3.38E+01;6.51E+01;2.53E+02;3.33E+01;1.21E+01;1.75E+00;9.55E+00;7.00E+00;2.63E+02;9.29E+03;1.44E+01
2017-01-02 06:00;2.63E+01;3.58E+01;6.54E+01;2.50E+02;3.32E+01;1.21E+01;1.87E+00;9.62E+00;7.00E+00;2.62E+02;9.03E+03;1.44E+01
2017-01-02 06:15;2.67E+01;3.84E+01;6.57E+01;2.47E+02;3.33E+01;1.23E+01;2.05E+00;9.83E+00;7.00E+00;2.60E+02;8.91E+03;1.43E+01
2017-01-02 06:30;2.74E+01;4.26E+01;6.53E+01;2.43E+02;3.37E+01;1.32E+01;2.35E+00;1.07E+01;7.00E+00;2.57E+02;9.06E+03;1.43E+01
2017-01-02 06:45;2.82E+01;4.78E+01;6.44E+01;2.38E+02;3.46E+01;1.46E+01;2.75E+00;1.19E+01;7.00E+00;2.53E+02;9.36E+03;1.43E+01
2017-01-02 07:00;2.91E+01;5.34E+01;6.33E+01;2.32E+02;3.55E+01;1.63E+01;3.18E+00;1.34E+01;7.00E+00;2.48E+02;9.71E+03;1.43E+01
2017-01-02 07:15;2.96E+01;6.17E+01;6.25E+01;2.29E+02;3.66E+01;1.86E+01;3.75E+00;1.53E+01;7.00E+00;2.46E+02;1.02E+04;1.43E+01
2017-01-02 07:30;2.86E+01;7.87E+01;6.26E+01;2.31E+02;3.76E+01;2.28E+01;4.75E+00;1.85E+01;7.00E+00;2.48E+02;1.12E+04;1.43E+01
2017-01-02 07:45;2.68E+01;1.00E+02;6.35E+01;2.37E+02;3.84E+01;2.82E+01;5.97E+00;2.23E+01;7.00E+00;2.54E+02;1.25E+04;1.43E+01
2017-01-02 08:00;2.47E+01;1.22E+02;6.46E+01;2.44E+02;3.92E+01;3.34E+01;7.17E+00;2.59E+01;7.00E+00;2.61E+02;1.37E+04;1.43E+01
2017-01-02 08:15;2.29E+01;1.38E+02;6.83E+01;2.62E+02;4.12E+01;3.74E+01;8.14E+00;2.85E+01;7.00E+00;2.79E+02;1.56E+04;1.43E+01
2017-01-02 08:30;2.17E+01;1.42E+02;7.88E+01;3.08E+02;4.64E+01;3.82E+01;8.57E+00;2.85E+01;7.00E+00;3.25E+02;1.87E+04;1.43E+01
2017-01-02 08:45;2.10E+01;1.39E+02;9.11E+01;3.62E+02;5.25E+01;3.73E+01;8.67E+00;2.71E+01;7.00E+00;3.80E+02;2.24E+04;1.43E+01
2017-01-02 09:00;2.05E+01;1.34E+02;1.02E+02;4.09E+02;5.78E+01;3.61E+01;8.65E+00;2.56E+01;7.00E+00;4.27E+02;2.61E+04;1.43E+01
2017-01-02 09:15;2.03E+01;1.30E+02;1.11E+02;4.46E+02;6.23E+01;3.51E+01;8.62E+00;2.44E+01;7.00E+00;4.65E+02;2.90E+04;1.43E+01
2017-01-02 09:30;2.05E+01;1.27E+02;1.19E+02;4.78E+02;6.70E+01;3.44E+01;8.55E+00;2.35E+01;7.00E+00;4.98E+02;3.00E+04;1.43E+01
2017-01-02 09:45;2.10E+01;1.24E+02;1.28E+02;5.08E+02;7.19E+01;3.38E+01;8.46E+00;2.28E+01;7.00E+00;5.31E+02;3.05E+04;1.43E+01
2017-01-02 10:00;2.14E+01;1.21E+02;1.37E+02;5.38E+02;7.67E+01;3.32E+01;8.36E+00;2.21E+01;7.00E+00;5.63E+02;3.07E+04;1.43E+01
2017-01-02 10:15;2.17E+01;1.18E+02;1.44E+02;5.62E+02;8.04E+01;3.25E+01;8.29E+00;2.15E+01;7.00E+00;5.90E+02;3.05E+04;1.43E+01
2017-01-02 10:30;2.18E+01;1.15E+02;1.47E+02;5.74E+02;8.18E+01;3.18E+01;8.33E+00;2.12E+01;7.00E+00;6.02E+02;2.98E+04;1.43E+01
2017-01-02 10:45;2.17E+01;1.13E+02;1.48E+02;5.81E+02;8.20E+01;3.09E+01;8.42E+00;2.09E+01;7.00E+00;6.08E+02;2.89E+04;1.43E+01
2017-01-02 11:00;2.15E+01;1.10E+02;1.49E+02;5.85E+02;8.18E+01;3.00E+01;8.52E+00;2.07E+01;7.00E+00;6.12E+02;2.79E+04;1.44E+01
2017-01-02 11:15;2.16E+01;1.06E+02;1.49E+02;5.86E+02;8.11E+01;2.88E+01;8.52E+00;2.02E+01;7.00E+00;6.12E+02;2.69E+04;1.44E+01
2017-01-02 11:30;2.22E+01;1.01E+02;1.47E+02;5.80E+02;7.95E+01;2.74E+01;8.29E+00;1.91E+01;7.00E+00;6.05E+02;2.62E+04;1.44E+01
2017-01-02 11:45;2.30E+01;9.55E+01;1.45E+02;5.69E+02;7.75E+01;2.57E+01;7.93E+00;1.77E+01;7.00E+00;5.94E+02;2.56E+04;1.44E+01
2017-01-02 12:00;2.40E+01;8.98E+01;1.42E+02;5.56E+02;7.51E+01;2.41E+01;7.52E+00;1.63E+01;7.00E+00;5.81E+02;2.51E+04;1.45E+01
2017-01-02 12:15;2.49E+01;8.42E+01;1.40E+02;5.44E+02;7.29E+01;2.26E+01;7.16E+00;1.50E+01;7.00E+00;5.68E+02;2.45E+04;1.45E+01
